epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.631,4.77083,9.22736,4.24084,0,0,0,0,5.40867,28.7567,4.16767,0.00017,0.00017,0.00017
2,239,4.82474,8.90378,4.11745,0,0,0,0,5.41042,28.9765,4.17772,0.000344225,0.000344225,0.000344225
3,361.803,4.148,7.78385,3.84592,0,0,0,0,5.37914,28.1011,4.15194,0.00051251,0.00051251,0.00051251
4,484.869,3.61103,6.62227,3.48161,0,0,0,0,5.25081,25.8766,4.02875,0.000674855,0.000674855,0.000674855
5,608.599,3.3769,6.02877,3.17966,0,0,0,0,4.35089,18.3167,3.47475,0.00083126,0.00083126,0.00083126
6,732.242,3.10831,5.01256,2.99036,0.00166,0.18519,0.00151,0.00065,3.57492,9.15626,2.96684,0.0009175,0.0009175,0.0009175
7,856.328,3.14313,4.60402,2.79493,0.69262,0.07407,0.18958,0.07562,4.36166,5.45532,2.84007,0.000901,0.000901,0.000901
8,981.041,3.16344,4.1652,2.72782,0.91885,0.25926,0.30122,0.1455,4.05656,4.93339,2.54174,0.0008845,0.0008845,0.0008845
9,1105.74,2.99893,3.93652,2.49551,0.881,0.2963,0.34575,0.19726,3.36112,4.53335,2.24429,0.000868,0.000868,0.000868
10,1231.12,2.92795,3.8752,2.46117,0.94123,0.38889,0.40559,0.23193,2.68755,3.93279,1.87747,0.0008515,0.0008515,0.0008515
11,1356.84,2.87682,3.53058,2.22924,0.90593,0.39972,0.4232,0.2293,2.18754,3.44561,1.67962,0.000835,0.000835,0.000835
12,1482.1,2.79892,3.22414,2.16778,0.96008,0.37037,0.47007,0.24541,2.46201,2.84281,1.74904,0.0008185,0.0008185,0.0008185
13,1608.07,2.7944,2.98425,2.09417,0.51838,0.48396,0.47472,0.24388,2.48083,3.02104,1.694,0.000802,0.000802,0.000802
14,1733.92,2.7569,2.94934,2.00618,0.71461,0.47262,0.46901,0.26298,2.40395,2.53456,1.61165,0.0007855,0.0007855,0.0007855
15,1859.55,2.63274,2.67137,1.92362,0.49424,0.4487,0.4701,0.2508,2.66379,2.48673,1.6588,0.000769,0.000769,0.000769
16,1984.96,2.57078,2.61086,1.94782,0.61955,0.60603,0.58408,0.29851,2.43039,2.24143,1.58133,0.0007525,0.0007525,0.0007525
17,2111.02,2.64996,2.50913,1.84226,0.51744,0.58736,0.53027,0.22452,2.55799,2.45894,1.66932,0.000736,0.000736,0.000736
18,2236.86,2.572,2.51328,1.84063,0.67768,0.48219,0.61037,0.33462,2.29833,2.1118,1.52782,0.0007195,0.0007195,0.0007195
